node_id,cluster_size,bootstrap_support_percent
487,2,73.27
488,2,99.95
489,3,98.73
490,2,99.98
491,2,100.0
492,2,100.0
493,2,99.81
494,2,60.07
495,4,99.71
496,2,88.64
497,2,85.23
498,2,83.2
499,2,77.87
500,3,33.04
501,2,74.69
502,2,50.3
503,2,99.65
504,2,83.25
505,2,24.37
506,2,70.14
507,2,97.38
508,2,53.98
509,2,66.19
510,3,84.42
511,2,99.19
512,2,99.77
513,2,96.17
514,2,63.92
515,2,23.49
516,5,16.93
517,2,97.05
518,2,85.48
519,2,36.13
520,2,28.53
521,2,99.98
522,2,68.08
523,2,62.29
524,2,80.61
525,3,16.22
526,2,62.04
527,2,89.97
528,2,80.52
529,2,71.03
530,2,74.15
531,2,78.26
532,2,99.99
533,2,41.29
534,2,17.85
535,3,13.17
536,2,14.64
537,2,49.21
538,2,71.12
539,3,48.17
540,4,6.22
541,3,87.65
542,2,85.6
543,3,11.07
544,2,70.71
545,3,57.95
546,2,17.49
547,3,24.4
548,2,43.78
549,2,66.47
550,2,75.19
551,3,43.8
552,2,28.68
553,3,52.81
554,2,98.09
555,2,86.1
556,2,42.64
557,2,81.5
558,2,32.71
559,2,39.28
560,3,22.4
561,2,66.2
562,3,37.61
563,3,60.31
564,2,99.34
565,3,35.18
566,2,38.47
567,3,77.65
568,2,51.49
569,2,48.43
570,3,28.14
571,2,10.37
572,2,69.01
573,2,88.68
574,3,9.21
575,2,16.04
576,7,4.23
577,6,7.11
578,2,68.92
579,2,54.84
580,2,82.32
581,4,21.41
582,2,39.47
583,3,26.86
584,2,58.47
585,2,92.41
586,2,22.34
587,2,28.64
588,3,35.46
589,2,64.08
590,2,90.66
591,3,23.46
592,2,81.25
593,2,49.31
594,2,49.9
595,2,79.44
596,3,75.46
597,2,29.01
598,2,44.67
599,3,4.41
600,3,50.31
601,3,5.7
602,7,22.19
603,3,67.22
604,2,25.76
605,3,19.81
606,4,16.55
607,4,5.87
608,3,24.07
609,2,45.61
610,2,7.53
611,2,54.28
612,2,55.28
613,2,54.74
614,5,10.02
615,3,17.08
616,3,13.54
617,2,72.86
618,2,24.51
619,4,0.83
620,10,15.1
621,3,13.26
622,2,30.46
623,4,2.53
624,3,9.4
625,4,46.72
626,2,46.74
627,3,24.48
628,3,12.5
629,3,81.92
630,2,70.56
631,3,43.57
632,5,35.82
633,2,16.91
634,3,68.61
635,6,13.93
636,5,0.13
637,2,86.41
638,2,8.39
639,3,73.4
640,2,63.99
641,3,31.88
642,3,8.94
643,2,38.93
644,9,0.84
645,2,22.95
646,5,0.66
647,3,40.5
648,6,0.16
649,2,26.11
650,2,57.34
651,4,8.94
652,2,46.53
653,4,12.45
654,2,64.44
655,3,20.1
656,4,10.21
657,3,23.17
658,2,23.78
659,2,40.23
660,2,25.63
661,3,3.7
662,2,62.99
663,6,1.51
664,2,12.88
665,5,10.36
666,2,49.07
667,3,26.99
668,2,4.06
669,4,45.08
670,8,0.08
671,2,38.76
672,3,53.63
673,4,10.45
674,5,0.69
675,6,5.07
676,12,6.57
677,5,5.29
678,2,35.86
679,6,0.0
680,2,61.47
681,2,13.69
682,2,44.31
683,3,24.15
684,3,39.08
685,2,74.12
686,2,28.23
687,5,0.73
688,13,0.14
689,3,27.74
690,2,50.69
691,2,90.76
692,4,8.41
693,2,41.06
694,2,72.43
695,3,22.25
696,2,58.17
697,3,26.76
698,7,0.0
699,5,23.72
700,5,27.38
701,2,63.57
702,5,2.47
703,2,33.52
704,2,19.19
705,5,13.85
706,2,32.15
707,3,41.21
708,3,47.84
709,2,25.46
710,4,3.8
711,3,55.06
712,4,55.59
713,4,4.47
714,3,43.11
715,13,0.0
716,6,12.38
717,2,20.42
718,10,4.15
719,4,17.41
720,4,4.77
721,4,4.12
722,5,32.56
723,2,88.62
724,3,66.36
725,3,79.21
726,8,0.0
727,2,70.81
728,6,4.83
729,2,18.0
730,16,2.33
731,5,36.04
732,3,35.99
733,8,9.67
734,5,1.0
735,2,61.53
736,3,3.04
737,3,52.88
738,5,5.59
739,5,3.75
740,5,5.4
741,7,1.54
742,2,36.48
743,2,24.5
744,2,82.38
745,2,20.07
746,2,24.1
747,6,11.1
748,3,7.87
749,3,12.34
750,3,27.28
751,2,57.16
752,2,29.2
753,3,11.46
754,5,6.47
755,20,0.0
756,2,22.23
757,2,37.67
758,6,3.45
759,2,45.47
760,3,13.63
761,3,17.15
762,2,21.12
763,2,32.4
764,4,34.18
765,11,0.01
766,3,22.0
767,4,0.48
768,2,12.73
769,4,7.75
770,6,2.64
771,3,42.15
772,3,16.75
773,25,0.0
774,4,3.25
775,2,76.74
776,2,12.66
777,4,4.79
778,8,0.24
779,2,33.23
780,7,21.82
781,6,0.03
782,7,3.9
783,7,1.32
784,18,0.0
785,11,0.0
786,6,0.27
787,5,5.36
788,6,0.95
789,3,5.09
790,11,0.02
791,2,64.73
792,3,28.41
793,9,0.17
794,15,15.72
795,3,28.86
796,2,15.48
797,2,32.88
798,2,57.46
799,22,0.55
800,7,1.69
801,11,0.01
802,3,25.93
803,5,3.42
804,5,13.22
805,9,1.94
806,3,15.54
807,4,3.87
808,4,22.86
809,2,39.95
810,2,49.29
811,6,1.11
812,3,8.03
813,31,0.0
814,4,10.33
815,5,4.15
816,3,3.02
817,2,31.87
818,4,13.11
819,7,7.44
820,29,0.0
821,2,22.6
822,2,9.33
823,4,0.2
824,11,0.79
825,40,0.0
826,3,53.12
827,9,1.6
828,16,18.56
829,4,25.83
830,4,1.65
831,10,1.07
832,3,46.63
833,4,18.09
834,6,5.59
835,2,65.35
836,2,65.29
837,8,27.36
838,4,7.4
839,2,39.18
840,2,20.52
841,18,15.26
842,4,23.18
843,2,46.65
844,8,0.59
845,5,3.31
846,3,32.97
847,4,5.28
848,5,0.4
849,7,3.08
850,2,11.2
851,5,0.09
852,9,0.06
853,5,9.69
854,3,3.55
855,5,2.18
856,12,0.0
857,3,6.83
858,17,0.0
859,3,18.85
860,12,0.0
861,3,7.52
862,9,2.23
863,40,0.0
864,2,15.71
865,2,29.68
866,28,0.02
867,5,0.28
868,2,8.35
869,3,7.77
870,44,0.0
871,19,11.34
872,6,1.58
873,3,12.24
874,4,0.04
875,5,7.21
876,11,4.25
877,23,0.0
878,3,3.49
879,2,26.05
880,21,0.0
881,6,7.51
882,47,0.0
883,5,14.96
884,5,1.04
885,8,7.67
886,15,0.23
887,5,3.91
888,5,0.44
889,7,0.17
890,3,1.48
891,6,1.44
892,2,37.18
893,4,12.21
894,9,0.0
895,11,0.03
896,5,2.27
897,11,0.12
898,10,5.78
899,26,0.02
900,10,0.0
901,5,5.0
902,56,0.0
903,4,5.76
904,10,0.13
905,3,16.27
906,29,0.01
907,12,0.0
908,70,0.0
909,20,3.13
910,3,4.95
911,9,0.05
912,17,0.03
913,4,4.02
914,12,0.67
915,7,0.07
916,8,0.69
917,5,0.74
918,11,3.03
919,3,17.94
920,126,0.0
921,10,7.06
922,21,0.03
923,2,5.45
924,5,22.14
925,12,0.26
926,12,0.02
927,6,0.42
928,7,2.61
929,11,0.13
930,13,3.51
931,13,0.02
932,7,0.82
933,47,0.0
934,34,0.0
935,19,0.0
936,15,0.0
937,17,0.01
938,17,0.0
939,13,0.0
940,32,0.0
941,16,0.0
942,10,0.0
943,128,0.0
944,7,0.88
945,29,0.0
946,29,0.0
947,15,0.0
